UE 335e: dlsch_rounds 392/20/12/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.42774 MCS (0) 3
UE 335e: dlsch_rounds 2139/20/12/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.12081 MCS (0) 3
UE 335e: dlsch_rounds 3000/32/12/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.05195 MCS (0) 11
UE 335e: dlsch_rounds 3780/62/12/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.05949 MCS (0) 11
UE 335e: dlsch_rounds 3865/76/12/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.17773 MCS (0) 3
UE 335e: dlsch_rounds 3897/76/12/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.04518 MCS (0) 3
UE 335e: dlsch_rounds 4983/134/12/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.15256 MCS (0) 22
UE 335e: dlsch_rounds 6656/204/12/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.07139 MCS (0) 22
UE 335e: dlsch_rounds 8212/370/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.19069 MCS (0) 21
UE 335e: dlsch_rounds 8434/370/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.04868 MCS (0) 9
UE 335e: dlsch_rounds 8499/385/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.28918 MCS (0) 8
UE 335e: dlsch_rounds 8544/393/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.14792 MCS (0) 3
UE 335e: dlsch_rounds 8658/398/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.05392 MCS (0) 3
UE 335e: dlsch_rounds 8682/398/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.01370 MCS (0) 3
UE 335e: dlsch_rounds 9834/582/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.16099 MCS (0) 17
UE 335e: dlsch_rounds 11496/652/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.12768 MCS (0) 24
UE 335e: dlsch_rounds 13082/766/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.10057 MCS (0) 16
UE 335e: dlsch_rounds 14688/877/13/0, dlsch_errors 0, pucch0_DTX 6, BLER 0.12493 MCS (0) 20
