UE d5aa: dlsch_rounds 34/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00886 MCS (0) 3
UE d5aa: dlsch_rounds 36/0/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00718 MCS (0) 3
UE d5aa: dlsch_rounds 800/146/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.19480 MCS (0) 20
UE d5aa: dlsch_rounds 1774/147/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.04994 MCS (0) 19
UE d5aa: dlsch_rounds 3243/387/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.15006 MCS (0) 20
UE d5aa: dlsch_rounds 4971/411/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.04893 MCS (0) 21
UE d5aa: dlsch_rounds 5614/428/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.02926 MCS (0) 15
UE d5aa: dlsch_rounds 5663/428/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00744 MCS (0) 14
UE d5aa: dlsch_rounds 5720/428/0/0, dlsch_errors 0, pucch0_DTX 0, BLER 0.00189 MCS (0) 14
UE d5aa: dlsch_rounds 7287/430/0/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.00127 MCS (0) 15
UE d5aa: dlsch_rounds 8803/629/0/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.16300 MCS (0) 19
UE d5aa: dlsch_rounds 10543/635/0/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.04143 MCS (0) 21
UE d5aa: dlsch_rounds 11939/885/0/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.14031 MCS (0) 21
UE d5aa: dlsch_rounds 13610/970/0/0, dlsch_errors 0, pucch0_DTX 2, BLER 0.07269 MCS (0) 21
UE d5aa: dlsch_rounds 14018/1009/1/1, dlsch_errors 0, pucch0_DTX 2, BLER 0.04482 MCS (0) 12
UE d5aa: dlsch_rounds 14077/1009/1/1, dlsch_errors 0, pucch0_DTX 2, BLER 0.01266 MCS (0) 14
